fecha,producto_id,cantidad_vendida,precio,stock_actual,nombre_producto,categoria,marca,descuento_porcentaje,clima_predominante,costo_envio
2025-06-01,PROD-101,38,899.99,63,Smartphone Galaxy,Electrónica,Samsung,0,Calor,3.71
2025-06-01,PROD-102,61,120.0,93,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,6.36
2025-06-01,PROD-103,14,85.5,264,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,7.25
2025-06-01,PROD-104,14,15.0,100,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,7.88
2025-06-01,PROD-105,10,250.0,272,Cafetera Espresso,Hogar,DeLonghi,0,Calor,5.33
2025-06-01,PROD-106,18,199.9,277,Silla Gamer,Muebles,SecretLab,0,Calor,6.94
2025-06-02,PROD-101,36,629.99,225,Smartphone Galaxy,Electrónica,Samsung,30,Calor,8.33
2025-06-02,PROD-102,33,84.0,60,Zapatillas Running,Ropa y Calzado,Nike,30,Calor,8.11
2025-06-02,PROD-103,9,85.5,255,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,2.87
2025-06-02,PROD-104,12,15.0,88,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,8.82
2025-06-02,PROD-105,9,250.0,263,Cafetera Espresso,Hogar,DeLonghi,0,Calor,8.37
2025-06-02,PROD-106,15,199.9,262,Silla Gamer,Muebles,SecretLab,0,Calor,3.01
2025-06-03,PROD-101,22,899.99,203,Smartphone Galaxy,Electrónica,Samsung,0,Calor,3.81
2025-06-03,PROD-102,39,120.0,21,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,8.34
2025-06-03,PROD-103,12,85.5,243,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,2.38
2025-06-03,PROD-104,12,15.0,76,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,2.37
2025-06-03,PROD-105,10,250.0,253,Cafetera Espresso,Hogar,DeLonghi,0,Calor,6.57
2025-06-03,PROD-106,12,199.9,250,Silla Gamer,Muebles,SecretLab,0,Calor,4.69
2025-06-04,PROD-101,24,899.99,179,Smartphone Galaxy,Electrónica,Samsung,0,Calor,8.57
2025-06-04,PROD-102,36,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,4.31
2025-06-04,PROD-103,8,85.5,235,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,3.07
2025-06-04,PROD-104,15,15.0,61,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,6.85
2025-06-04,PROD-105,8,250.0,245,Cafetera Espresso,Hogar,DeLonghi,0,Calor,5.33
2025-06-04,PROD-106,16,199.9,234,Silla Gamer,Muebles,SecretLab,0,Calor,4.08
2025-06-05,PROD-101,28,809.99,151,Smartphone Galaxy,Electrónica,Samsung,10,Calor,7.26
2025-06-05,PROD-102,33,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,3.99
2025-06-05,PROD-103,10,85.5,225,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,9.72
2025-06-05,PROD-104,15,10.5,46,Protector Solar FPS50,Salud y Belleza,Nivea,30,Calor,7.06
2025-06-05,PROD-105,9,250.0,236,Cafetera Espresso,Hogar,DeLonghi,0,Calor,8.61
2025-06-05,PROD-106,18,199.9,216,Silla Gamer,Muebles,SecretLab,0,Calor,5.26
2025-06-06,PROD-101,21,899.99,130,Smartphone Galaxy,Electrónica,Samsung,0,Calor,9.12
2025-06-06,PROD-102,38,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,9.2
2025-06-06,PROD-103,12,85.5,213,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,7.63
2025-06-06,PROD-104,11,15.0,35,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,5.71
2025-06-06,PROD-105,9,250.0,227,Cafetera Espresso,Hogar,DeLonghi,0,Calor,4.7
2025-06-06,PROD-106,17,199.9,199,Silla Gamer,Muebles,SecretLab,0,Calor,2.1
2025-06-07,PROD-101,34,899.99,96,Smartphone Galaxy,Electrónica,Samsung,0,Calor,6.67
2025-06-07,PROD-102,61,84.0,0,Zapatillas Running,Ropa y Calzado,Nike,30,Calor,8.81
2025-06-07,PROD-103,9,85.5,204,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,5.66
2025-06-07,PROD-104,16,15.0,19,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,6.7
2025-06-07,PROD-105,11,250.0,216,Cafetera Espresso,Hogar,DeLonghi,0,Calor,6.8
2025-06-07,PROD-106,18,199.9,181,Silla Gamer,Muebles,SecretLab,0,Calor,8.45
2025-06-08,PROD-101,30,899.99,66,Smartphone Galaxy,Electrónica,Samsung,0,Calor,9.02
2025-06-08,PROD-102,46,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,4.75
2025-06-08,PROD-103,13,85.5,191,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,8.81
2025-06-08,PROD-104,15,15.0,4,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,7.3
2025-06-08,PROD-105,8,250.0,208,Cafetera Espresso,Hogar,DeLonghi,0,Calor,8.13
2025-06-08,PROD-106,21,199.9,160,Silla Gamer,Muebles,SecretLab,0,Calor,8.45
2025-06-09,PROD-101,25,899.99,154,Smartphone Galaxy,Electrónica,Samsung,0,Calor,6.51
2025-06-09,PROD-102,50,120.0,105,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,5.26
2025-06-09,PROD-103,12,85.5,179,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,7.73
2025-06-09,PROD-104,13,15.0,118,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,5.6
2025-06-09,PROD-105,6,250.0,202,Cafetera Espresso,Hogar,DeLonghi,0,Calor,9.94
2025-06-09,PROD-106,12,199.9,148,Silla Gamer,Muebles,SecretLab,0,Calor,3.56
2025-06-10,PROD-101,30,899.99,124,Smartphone Galaxy,Electrónica,Samsung,0,Calor,4.27
2025-06-10,PROD-102,30,120.0,75,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,4.39
2025-06-10,PROD-103,7,85.5,172,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,9.83
2025-06-10,PROD-104,12,15.0,106,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,5.56
2025-06-10,PROD-105,6,225.0,196,Cafetera Espresso,Hogar,DeLonghi,10,Calor,6.8
2025-06-10,PROD-106,11,199.9,137,Silla Gamer,Muebles,SecretLab,0,Calor,8.29
2025-06-11,PROD-101,31,629.99,93,Smartphone Galaxy,Electrónica,Samsung,30,Calor,6.74
2025-06-11,PROD-102,49,120.0,26,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,8.54
2025-06-11,PROD-103,13,85.5,159,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,4.98
2025-06-11,PROD-104,12,15.0,94,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,7.47
2025-06-11,PROD-105,7,225.0,189,Cafetera Espresso,Hogar,DeLonghi,10,Calor,6.87
2025-06-11,PROD-106,12,199.9,125,Silla Gamer,Muebles,SecretLab,0,Calor,7.35
2025-06-12,PROD-101,21,899.99,72,Smartphone Galaxy,Electrónica,Samsung,0,Calor,2.83
2025-06-12,PROD-102,41,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,9.19
2025-06-12,PROD-103,6,85.5,153,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,8.88
2025-06-12,PROD-104,10,15.0,84,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,2.48
2025-06-12,PROD-105,6,225.0,183,Cafetera Espresso,Hogar,DeLonghi,10,Calor,9.86
2025-06-12,PROD-106,18,199.9,107,Silla Gamer,Muebles,SecretLab,0,Calor,4.67
2025-06-13,PROD-101,23,899.99,49,Smartphone Galaxy,Electrónica,Samsung,0,Calor,7.99
2025-06-13,PROD-102,53,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,6.07
2025-06-13,PROD-103,14,85.5,139,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,7.0
2025-06-13,PROD-104,13,13.5,71,Protector Solar FPS50,Salud y Belleza,Nivea,10,Calor,5.72
2025-06-13,PROD-105,7,250.0,176,Cafetera Espresso,Hogar,DeLonghi,0,Calor,9.68
2025-06-13,PROD-106,14,199.9,93,Silla Gamer,Muebles,SecretLab,0,Calor,8.05
2025-06-14,PROD-101,28,899.99,21,Smartphone Galaxy,Electrónica,Samsung,0,Calor,5.74
2025-06-14,PROD-102,33,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,9.39
2025-06-14,PROD-103,14,76.95,125,Chaqueta Invierno,Ropa y Calzado,NorthFace,10,Calor,4.89
2025-06-14,PROD-104,15,15.0,56,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,6.65
2025-06-14,PROD-105,11,250.0,165,Cafetera Espresso,Hogar,DeLonghi,0,Calor,5.6
2025-06-14,PROD-106,22,199.9,71,Silla Gamer,Muebles,SecretLab,0,Calor,3.45
2025-06-15,PROD-101,23,899.99,0,Smartphone Galaxy,Electrónica,Samsung,0,Calor,8.13
2025-06-15,PROD-102,47,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,9.34
2025-06-15,PROD-103,13,85.5,112,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,3.04
2025-06-15,PROD-104,14,15.0,42,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,9.02
2025-06-15,PROD-105,12,250.0,153,Cafetera Espresso,Hogar,DeLonghi,0,Calor,6.49
2025-06-15,PROD-106,16,199.9,55,Silla Gamer,Muebles,SecretLab,0,Calor,3.77
2025-06-16,PROD-101,23,899.99,143,Smartphone Galaxy,Electrónica,Samsung,0,Calor,8.81
2025-06-16,PROD-102,43,96.0,122,Zapatillas Running,Ropa y Calzado,Nike,20,Calor,7.25
2025-06-16,PROD-103,13,68.4,99,Chaqueta Invierno,Ropa y Calzado,NorthFace,20,Calor,3.51
2025-06-16,PROD-104,11,15.0,178,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,3.86
2025-06-16,PROD-105,8,250.0,145,Cafetera Espresso,Hogar,DeLonghi,0,Calor,4.65
2025-06-16,PROD-106,18,199.9,195,Silla Gamer,Muebles,SecretLab,0,Calor,9.7
2025-06-17,PROD-101,23,899.99,120,Smartphone Galaxy,Electrónica,Samsung,0,Calor,7.28
2025-06-17,PROD-102,54,120.0,68,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,6.82
2025-06-17,PROD-103,10,85.5,89,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,8.8
2025-06-17,PROD-104,15,10.5,163,Protector Solar FPS50,Salud y Belleza,Nivea,30,Calor,2.75
2025-06-17,PROD-105,4,250.0,141,Cafetera Espresso,Hogar,DeLonghi,0,Calor,2.68
2025-06-17,PROD-106,12,199.9,183,Silla Gamer,Muebles,SecretLab,0,Calor,6.23
2025-06-18,PROD-101,28,899.99,92,Smartphone Galaxy,Electrónica,Samsung,0,Calor,8.95
2025-06-18,PROD-102,45,120.0,23,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,8.62
2025-06-18,PROD-103,7,85.5,82,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,8.42
2025-06-18,PROD-104,12,15.0,151,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,8.14
2025-06-18,PROD-105,5,250.0,136,Cafetera Espresso,Hogar,DeLonghi,0,Calor,7.94
2025-06-18,PROD-106,13,199.9,170,Silla Gamer,Muebles,SecretLab,0,Calor,8.0
2025-06-19,PROD-101,32,899.99,60,Smartphone Galaxy,Electrónica,Samsung,0,Calor,6.98
2025-06-19,PROD-102,36,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,2.92
2025-06-19,PROD-103,9,85.5,73,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,6.4
2025-06-19,PROD-104,12,15.0,139,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,2.26
2025-06-19,PROD-105,7,250.0,129,Cafetera Espresso,Hogar,DeLonghi,0,Calor,8.75
2025-06-19,PROD-106,14,199.9,156,Silla Gamer,Muebles,SecretLab,0,Calor,5.73
2025-06-20,PROD-101,37,899.99,23,Smartphone Galaxy,Electrónica,Samsung,0,Calor,7.35
2025-06-20,PROD-102,36,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,9.91
2025-06-20,PROD-103,8,85.5,65,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,3.61
2025-06-20,PROD-104,14,15.0,125,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,9.25
2025-06-20,PROD-105,6,200.0,123,Cafetera Espresso,Hogar,DeLonghi,20,Calor,2.62
2025-06-20,PROD-106,21,199.9,135,Silla Gamer,Muebles,SecretLab,0,Calor,2.77
2025-06-21,PROD-101,40,899.99,0,Smartphone Galaxy,Electrónica,Samsung,0,Calor,2.19
2025-06-21,PROD-102,56,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,3.51
2025-06-21,PROD-103,12,85.5,53,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,2.22
2025-06-21,PROD-104,16,15.0,109,Protector Solar FPS50,Salud y Belleza,Nivea,0,Calor,3.07
2025-06-21,PROD-105,10,250.0,113,Cafetera Espresso,Hogar,DeLonghi,0,Calor,9.5
2025-06-21,PROD-106,17,199.9,118,Silla Gamer,Muebles,SecretLab,0,Calor,9.2
2025-06-22,PROD-101,31,899.99,0,Smartphone Galaxy,Electrónica,Samsung,0,Calor,6.05
2025-06-22,PROD-102,49,120.0,0,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,2.55
2025-06-22,PROD-103,14,85.5,39,Chaqueta Invierno,Ropa y Calzado,NorthFace,0,Calor,9.91
2025-06-22,PROD-104,16,12.0,93,Protector Solar FPS50,Salud y Belleza,Nivea,20,Calor,7.66
2025-06-22,PROD-105,13,250.0,100,Cafetera Espresso,Hogar,DeLonghi,0,Calor,6.2
2025-06-22,PROD-106,12,199.9,106,Silla Gamer,Muebles,SecretLab,0,Calor,3.4
2025-06-23,PROD-101,19,899.99,157,Smartphone Galaxy,Electrónica,Samsung,0,Calor,9.5
2025-06-23,PROD-102,47,120.0,108,Zapatillas Running,Ropa y Calzado,Nike,0,Calor,3.43
